,Wind Speed
0,T. Depression
1,T. Depression
2,T. Storm
3,T. Storm
4,Category 1
5,T. Storm
6,T. Depression
7,Category 1
8,Category 2
9,T. Storm
10,T. Storm
11,T. Depression
12,T. Depression
13,Category 1
14,T. Storm
15,T. Storm
16,T. Storm
17,T. Storm
18,T. Storm
19,T. Storm
20,T. Storm
21,T. Depression
22,T. Storm
23,T. Storm
24,Category 3
25,Category 2
26,T. Storm
27,T. Depression
28,T. Depression
29,T. Storm
30,T. Storm
31,T. Storm
32,Category 2
33,T. Depression
34,T. Storm
35,T. Storm
36,T. Storm
37,T. Depression
38,Category 3
39,Category 3
40,T. Depression
41,T. Storm
42,T. Storm
43,T. Depression
44,T. Depression
45,Category 1
46,Category 1
47,T. Storm
48,T. Storm
49,T. Storm
50,T. Depression
51,T. Storm
52,Category 1
53,T. Depression
54,T. Storm
55,T. Storm
56,T. Storm
57,T. Depression
58,T. Depression
59,Category 1
60,T. Depression
61,T. Depression
62,Category 1
63,T. Storm
64,T. Storm
65,T. Storm
66,T. Depression
67,T. Storm
68,T. Depression
69,T. Depression
70,T. Depression
71,T. Depression
72,T. Storm
73,T. Storm
74,T. Storm
75,T. Storm
76,Category 1
77,T. Storm
78,T. Storm
79,Category 2
80,Category 3
81,T. Storm
82,T. Depression
83,T. Storm
84,T. Storm
85,T. Storm
86,T. Depression
87,T. Storm
88,T. Depression
89,T. Storm
90,T. Storm
91,T. Storm
92,T. Depression
93,Category 3
94,T. Storm
95,T. Depression
96,Category 1
97,T. Depression
98,T. Storm
99,T. Storm
100,T. Storm
101,Category 3
102,T. Depression
103,T. Depression
104,T. Storm
105,T. Storm
106,T. Storm
107,T. Depression
108,T. Storm
109,T. Depression
110,T. Storm
111,T. Storm
112,T. Storm
113,T. Depression
114,T. Depression
115,Category 3
116,T. Storm
117,T. Storm
118,T. Depression
119,T. Depression
120,T. Storm
121,T. Depression
122,T. Depression
123,T. Storm
124,T. Storm
125,T. Storm
126,T. Depression
127,T. Storm
128,T. Storm
129,T. Storm
130,T. Depression
131,T. Storm
132,T. Storm
133,T. Depression
134,T. Depression
135,Category 1
136,Category 3
137,T. Storm
138,T. Depression
139,Category 2
140,Category 2
141,T. Storm
142,T. Depression
143,Category 3
144,T. Depression
145,T. Storm
146,T. Storm
147,T. Storm
148,T. Depression
149,T. Depression
150,T. Storm
151,T. Depression
152,Category 3
153,T. Storm
154,T. Storm
155,Category 1
156,Category 2
157,T. Depression
158,T. Storm
159,T. Depression
160,T. Depression
161,T. Storm
162,T. Storm
163,T. Depression
164,T. Storm
165,T. Storm
166,Category 1
167,T. Storm
168,T. Storm
169,T. Depression
170,T. Storm
171,T. Depression
172,T. Storm
173,T. Depression
174,T. Depression
175,T. Storm
176,T. Storm
177,T. Depression
178,Category 3
179,T. Depression
180,T. Storm
181,T. Depression
182,T. Storm
183,Category 1
184,T. Depression
185,T. Depression
186,T. Storm
187,T. Storm
188,T. Depression
189,T. Depression
190,T. Storm
191,T. Depression
192,T. Storm
193,T. Storm
194,T. Storm
195,T. Storm
196,T. Storm
197,Category 3
198,T. Storm
199,T. Storm
200,T. Depression
201,T. Depression
202,T. Storm
203,T. Depression
204,T. Storm
205,Category 1
206,Category 2
207,T. Storm
208,T. Storm
209,Category 1
210,T. Storm
211,T. Storm
212,Category 1
213,T. Storm
214,T. Storm
215,Category 1
216,T. Depression
217,T. Storm
218,T. Depression
219,T. Storm
220,T. Depression
221,T. Depression
222,T. Storm
223,Category 3
224,T. Depression
225,T. Storm
226,T. Storm
227,T. Depression
228,T. Depression
229,T. Storm
230,T. Depression
231,Category 3
232,T. Depression
233,T. Storm
234,Category 1
235,T. Depression
236,Category 3
237,T. Depression
238,T. Depression
239,Category 1
240,T. Storm
241,T. Storm
242,T. Storm
243,T. Storm
244,T. Depression
245,T. Storm
246,Category 1
247,Category 1
248,T. Storm
249,T. Storm
250,T. Depression
251,Category 2
252,T. Depression
253,T. Storm
254,Category 2
255,Category 3
256,T. Storm
257,T. Storm
258,Category 3
259,Category 3
260,T. Depression
261,T. Storm
262,T. Depression
263,T. Depression
264,T. Storm
265,T. Storm
266,T. Storm
267,T. Depression
268,Category 2
269,Category 1
270,T. Depression
271,T. Storm
272,T. Storm
273,Category 2
274,T. Storm
275,Category 2
276,T. Storm
277,T. Storm
278,Category 1
279,T. Storm
280,T. Depression
281,T. Storm
282,Category 1
283,T. Depression
284,Category 1
285,T. Storm
286,T. Depression
287,Category 3
288,T. Depression
289,T. Storm
290,T. Storm
291,T. Storm
292,T. Storm
293,T. Storm
294,T. Depression
295,T. Storm
296,T. Depression
297,T. Storm
298,Category 2
299,Category 1
300,T. Depression
301,T. Storm
302,T. Storm
303,Category 2
304,T. Storm
305,T. Storm
306,T. Depression
307,T. Storm
308,T. Depression
309,Category 2
310,T. Depression
311,Category 1
312,T. Storm
313,T. Storm
314,Category 1
315,Category 1
316,T. Storm
317,T. Depression
318,T. Storm
319,T. Depression
320,Category 3
321,Category 3
322,T. Storm
323,Category 1
324,T. Depression
325,Category 3
326,T. Storm
327,T. Storm
328,Category 1
329,T. Depression
330,T. Depression
331,T. Depression
332,T. Storm
333,Category 3
334,T. Depression
335,T. Depression
336,T. Storm
337,T. Depression
338,Category 3
339,T. Storm
340,T. Storm
341,T. Storm
342,T. Depression
343,T. Storm
344,T. Depression
345,T. Storm
346,T. Storm
347,T. Storm
348,T. Storm
349,T. Depression
350,Category 1
351,T. Depression
352,T. Storm
353,T. Storm
354,Category 1
355,T. Storm
356,T. Depression
357,T. Storm
358,T. Storm
359,T. Storm
360,Category 1
361,T. Depression
362,T. Depression
363,T. Storm
364,T. Depression
365,T. Depression
366,T. Depression
367,T. Depression
368,T. Storm
369,T. Storm
370,T. Storm
