,Wind Speed
0,T. Storm
1,T. Storm
2,Category 5
3,T. Storm
4,T. Depression
5,T. Depression
6,T. Depression
7,T. Storm
8,T. Depression
9,T. Storm
10,T. Depression
11,T. Storm
12,T. Depression
13,T. Depression
14,Category 1
15,Category 3
16,Category 1
17,T. Storm
18,Category 1
19,T. Depression
20,Category 1
21,T. Storm
22,Category 1
23,T. Storm
24,T. Depression
25,Category 1
26,T. Depression
27,T. Storm
28,T. Depression
29,Category 2
30,T. Storm
31,T. Storm
32,T. Storm
33,T. Storm
34,T. Storm
35,T. Storm
36,T. Storm
37,T. Depression
38,Category 1
39,T. Depression
40,T. Depression
41,T. Depression
42,T. Storm
43,Category 1
44,T. Depression
45,T. Storm
46,T. Storm
47,T. Storm
48,T. Storm
49,T. Depression
50,T. Depression
51,T. Storm
52,Category 2
53,T. Depression
54,T. Depression
55,T. Storm
56,Category 2
57,T. Storm
58,T. Depression
59,T. Storm
60,T. Storm
61,T. Storm
62,T. Storm
63,Category 1
64,T. Storm
65,Category 1
66,T. Storm
67,T. Storm
68,T. Depression
69,T. Storm
70,T. Storm
71,Category 1
72,T. Storm
73,Category 3
74,T. Storm
75,Category 4
76,Category 2
77,T. Storm
78,Category 3
79,T. Depression
80,T. Depression
81,T. Depression
82,T. Storm
83,T. Storm
84,T. Depression
85,Category 1
86,Category 1
87,T. Depression
88,Category 2
89,T. Storm
90,Category 1
91,T. Storm
92,T. Storm
93,T. Storm
94,Category 4
95,T. Storm
96,Category 2
97,T. Storm
98,T. Depression
99,T. Storm
100,T. Storm
101,T. Storm
102,T. Depression
103,Category 1
104,T. Storm
105,Category 2
106,T. Storm
107,T. Storm
108,T. Storm
109,T. Depression
110,T. Storm
111,Category 1
112,T. Depression
113,T. Storm
114,Category 3
115,T. Depression
116,T. Storm
117,T. Storm
118,T. Depression
119,Category 2
120,T. Storm
121,T. Storm
122,T. Storm
123,T. Storm
124,T. Storm
125,T. Depression
126,Category 3
127,T. Storm
128,Category 2
129,T. Storm
130,T. Storm
131,Category 4
132,T. Storm
133,T. Storm
134,T. Storm
135,T. Depression
136,T. Depression
137,T. Depression
138,T. Storm
139,T. Storm
140,T. Storm
141,T. Depression
142,T. Storm
143,T. Depression
144,T. Depression
145,Category 1
146,T. Depression
147,T. Depression
148,T. Depression
149,Category 1
150,T. Depression
151,T. Storm
152,T. Depression
153,T. Storm
154,T. Storm
155,T. Storm
156,T. Storm
157,T. Storm
158,T. Storm
159,T. Storm
160,T. Depression
161,Category 1
162,T. Storm
163,T. Storm
164,T. Storm
165,T. Storm
166,T. Depression
167,T. Depression
168,T. Storm
169,T. Storm
170,Category 4
171,T. Depression
172,T. Depression
173,T. Storm
174,T. Depression
175,Category 1
176,T. Storm
177,Category 1
178,Category 3
179,T. Storm
180,T. Storm
181,Category 4
182,T. Storm
183,T. Depression
184,Category 4
185,T. Depression
186,T. Storm
187,Category 3
188,T. Storm
189,T. Storm
190,T. Storm
191,T. Depression
192,T. Storm
193,T. Storm
194,T. Storm
195,T. Depression
196,T. Depression
197,T. Depression
198,T. Depression
199,T. Depression
200,T. Storm
201,T. Storm
202,T. Depression
203,T. Depression
204,T. Depression
205,T. Storm
206,T. Storm
207,T. Storm
208,Category 1
209,T. Storm
210,T. Depression
211,T. Storm
212,T. Storm
213,Category 1
214,T. Depression
215,T. Depression
216,Category 1
217,T. Depression
218,T. Storm
219,T. Storm
220,T. Storm
221,Category 3
222,T. Storm
223,T. Storm
224,T. Storm
225,Category 2
226,T. Depression
227,T. Storm
228,Category 1
229,T. Storm
230,Category 1
231,T. Depression
232,Category 4
233,T. Storm
234,Category 1
235,Category 1
236,T. Depression
237,T. Storm
238,T. Depression
239,Category 1
240,T. Storm
241,Category 1
242,T. Storm
243,T. Storm
244,T. Storm
245,Category 1
246,Category 4
247,Category 2
248,T. Storm
249,T. Storm
250,T. Storm
251,T. Depression
252,T. Storm
253,T. Storm
254,T. Storm
255,T. Storm
256,T. Depression
257,T. Storm
258,Category 4
259,T. Storm
260,T. Depression
261,T. Storm
262,T. Depression
263,T. Depression
264,Category 1
265,T. Depression
266,T. Depression
267,T. Depression
268,Category 1
269,T. Depression
270,T. Depression
271,T. Storm
272,T. Depression
273,T. Storm
274,Category 1
275,Category 3
276,T. Storm
277,T. Storm
278,T. Depression
279,T. Storm
280,T. Storm
281,T. Depression
282,Category 2
283,Category 5
284,T. Depression
285,T. Depression
286,T. Storm
287,T. Depression
288,T. Storm
289,Category 4
290,Category 3
291,T. Storm
292,Category 1
293,T. Storm
294,T. Storm
295,T. Storm
296,T. Depression
297,T. Depression
298,Category 2
299,Category 1
300,Category 5
301,Category 1
302,Category 4
303,T. Storm
304,T. Depression
305,T. Storm
306,Category 5
307,T. Depression
308,T. Storm
309,T. Depression
310,Category 1
311,T. Depression
312,T. Depression
313,T. Depression
314,T. Storm
315,T. Storm
316,T. Storm
317,T. Storm
318,T. Storm
319,T. Storm
320,Category 2
321,T. Storm
322,T. Storm
323,Category 2
324,T. Depression
325,Category 3
326,T. Depression
327,T. Depression
328,T. Storm
329,T. Storm
330,T. Depression
331,T. Depression
332,T. Storm
333,T. Storm
334,Category 3
335,Category 1
336,Category 1
337,T. Storm
338,T. Depression
339,T. Depression
340,T. Storm
341,T. Storm
342,T. Storm
343,T. Depression
344,T. Depression
345,T. Storm
346,Category 4
347,T. Depression
348,T. Storm
349,T. Storm
350,T. Storm
351,T. Depression
352,Category 1
353,T. Storm
354,T. Storm
355,Category 1
356,Category 1
357,T. Depression
358,T. Depression
359,T. Depression
360,T. Storm
361,T. Depression
362,T. Depression
363,T. Storm
364,T. Storm
365,T. Storm
366,Category 1
367,T. Storm
368,T. Depression
369,T. Storm
370,T. Depression
371,Category 1
372,T. Storm
373,T. Depression
374,Category 1
375,T. Storm
376,T. Depression
377,T. Storm
378,T. Storm
379,T. Depression
380,T. Storm
381,T. Depression
382,T. Storm
383,Category 2
384,T. Storm
385,T. Depression
386,T. Storm
387,T. Depression
388,T. Depression
389,Category 2
390,T. Storm
391,T. Depression
392,T. Storm
393,Category 1
394,T. Storm
395,T. Depression
396,T. Storm
397,T. Storm
398,T. Depression
399,T. Depression
400,T. Storm
401,T. Storm
402,Category 2
403,T. Depression
404,T. Storm
405,T. Depression
406,T. Storm
407,T. Depression
408,T. Storm
409,T. Storm
410,T. Depression
411,T. Storm
412,Category 1
413,T. Depression
414,T. Storm
415,T. Storm
416,T. Depression
417,T. Storm
418,T. Storm
419,T. Depression
420,T. Storm
421,Category 1
422,T. Storm
423,T. Depression
424,T. Storm
425,Category 4
426,T. Storm
427,T. Storm
428,T. Storm
429,T. Storm
430,Category 1
431,T. Storm
432,T. Storm
433,T. Depression
434,Category 3
435,Category 4
436,T. Storm
437,Category 2
438,T. Storm
439,Category 1
440,Category 5
441,Category 1
442,T. Storm
443,Category 1
444,T. Storm
445,T. Storm
446,Category 3
447,T. Storm
448,T. Storm
449,T. Storm
450,T. Storm
451,Category 1
452,T. Depression
453,Category 1
454,Category 1
455,T. Storm
456,T. Storm
457,T. Storm
458,T. Storm
459,T. Depression
460,T. Storm
461,T. Depression
462,T. Storm
463,T. Storm
464,Category 1
465,T. Storm
466,T. Storm
467,T. Depression
468,T. Depression
469,T. Depression
470,Category 3
471,T. Depression
472,T. Storm
473,Category 1
474,T. Storm
475,T. Storm
476,T. Storm
477,T. Depression
478,T. Depression
479,Category 2
480,T. Storm
481,T. Storm
482,Category 1
483,T. Storm
484,T. Storm
485,T. Storm
486,T. Storm
487,T. Storm
488,Category 1
489,T. Storm
490,Category 1
491,Category 3
492,T. Storm
493,T. Storm
494,T. Depression
495,T. Storm
496,T. Storm
497,T. Depression
498,T. Storm
499,T. Storm
500,T. Depression
501,T. Storm
502,T. Depression
503,T. Storm
504,T. Storm
505,T. Storm
506,T. Storm
507,T. Storm
508,Category 5
509,Category 1
510,T. Depression
511,T. Depression
512,T. Storm
513,T. Storm
514,T. Storm
515,T. Storm
516,T. Depression
517,T. Depression
518,T. Storm
519,T. Depression
520,T. Depression
521,T. Storm
522,T. Storm
523,T. Storm
524,T. Storm
525,Category 4
526,T. Depression
527,T. Depression
528,T. Storm
529,T. Depression
530,Category 1
531,T. Depression
532,Category 1
533,T. Depression
534,Category 3
535,T. Depression
536,T. Depression
537,Category 1
538,Category 3
539,T. Storm
540,T. Depression
541,T. Storm
542,T. Depression
543,T. Storm
544,Category 1
545,Category 2
546,T. Storm
547,Category 1
548,Category 1
549,T. Storm
550,Category 2
551,T. Storm
552,Category 1
553,T. Depression
554,T. Storm
555,T. Storm
556,T. Depression
557,T. Storm
558,Category 4
559,T. Storm
560,Category 1
561,T. Storm
562,Category 1
563,T. Depression
564,T. Depression
565,T. Depression
566,T. Storm
567,T. Storm
568,T. Storm
569,T. Storm
570,T. Storm
571,Category 3
