,Wind Speed
0,T. Depression
1,T. Depression
2,T. Storm
3,T. Storm
4,Category 2
5,Category 1
6,T. Storm
7,T. Depression
8,Category 1
9,Category 2
10,T. Storm
11,T. Storm
12,T. Storm
13,T. Depression
14,T. Depression
15,T. Depression
16,Category 1
17,T. Storm
18,T. Storm
19,Category 4
20,T. Storm
21,Category 2
22,T. Storm
23,T. Storm
24,T. Storm
25,T. Storm
26,T. Depression
27,T. Depression
28,T. Storm
29,Category 1
30,Category 3
31,T. Storm
32,Category 1
33,Category 3
34,Category 2
35,T. Storm
36,T. Depression
37,T. Depression
38,T. Storm
39,T. Storm
40,T. Storm
41,T. Storm
42,T. Storm
43,Category 2
44,T. Depression
45,T. Storm
46,T. Storm
47,T. Storm
48,Category 2
49,T. Depression
50,Category 4
51,Category 4
52,T. Depression
53,T. Depression
54,Category 1
55,T. Storm
56,T. Storm
57,T. Depression
58,Category 3
59,Category 1
60,T. Depression
61,Category 1
62,T. Depression
63,Category 1
64,T. Storm
65,T. Depression
66,T. Storm
67,T. Depression
68,T. Storm
69,T. Depression
70,T. Depression
71,T. Storm
72,Category 1
73,T. Depression
74,Category 3
75,T. Storm
76,T. Storm
77,T. Storm
78,T. Depression
79,T. Depression
80,Category 1
81,T. Depression
82,T. Depression
83,Category 2
84,Category 1
85,T. Storm
86,T. Storm
87,T. Storm
88,T. Depression
89,T. Storm
90,T. Depression
91,T. Depression
92,T. Depression
93,T. Storm
94,Category 1
95,T. Depression
96,T. Storm
97,T. Storm
98,T. Storm
99,T. Depression
100,T. Storm
101,T. Storm
102,T. Storm
103,T. Storm
104,T. Depression
105,T. Storm
106,Category 1
107,T. Storm
108,T. Storm
109,Category 2
110,Category 4
111,T. Storm
112,T. Depression
113,T. Storm
114,T. Storm
115,T. Depression
116,T. Storm
117,T. Depression
118,T. Storm
119,T. Depression
120,T. Storm
121,T. Storm
122,T. Storm
123,T. Depression
124,Category 3
125,T. Storm
126,T. Depression
127,Category 1
128,T. Depression
129,T. Depression
130,T. Storm
131,T. Storm
132,Category 1
133,Category 2
134,T. Storm
135,Category 3
136,Category 3
137,T. Storm
138,T. Depression
139,T. Depression
140,T. Storm
141,Category 4
142,T. Storm
143,T. Storm
144,T. Depression
145,T. Storm
146,T. Depression
147,T. Storm
148,T. Storm
149,T. Storm
150,T. Depression
151,T. Depression
152,T. Storm
153,Category 5
154,T. Storm
155,T. Storm
156,T. Depression
157,T. Depression
158,T. Storm
159,T. Depression
160,T. Depression
161,T. Storm
162,T. Storm
163,T. Storm
164,T. Depression
165,T. Storm
166,T. Storm
167,T. Storm
168,Category 3
169,T. Depression
170,T. Depression
171,T. Storm
172,T. Storm
173,T. Depression
174,T. Depression
175,T. Depression
176,Category 1
177,Category 5
178,T. Depression
179,T. Storm
180,T. Depression
181,Category 2
182,Category 2
183,T. Storm
184,T. Depression
185,T. Storm
186,Category 3
187,Category 5
188,T. Depression
189,T. Storm
190,T. Storm
191,T. Storm
192,T. Depression
193,T. Depression
194,T. Storm
195,T. Depression
196,T. Storm
197,Category 3
198,Category 5
199,T. Storm
200,T. Storm
201,Category 1
202,Category 1
203,Category 2
204,T. Depression
205,T. Depression
206,T. Storm
207,T. Depression
208,T. Depression
209,T. Storm
210,T. Storm
211,T. Storm
212,T. Depression
213,T. Storm
214,T. Storm
215,Category 1
216,T. Depression
217,T. Storm
218,T. Storm
219,T. Depression
220,T. Storm
221,Category 2
222,T. Depression
223,T. Storm
224,T. Depression
225,T. Depression
226,T. Depression
227,T. Storm
228,T. Storm
229,T. Depression
230,Category 4
231,T. Depression
232,T. Depression
233,T. Depression
234,T. Storm
235,T. Depression
236,T. Storm
237,Category 1
238,T. Depression
239,T. Storm
240,T. Depression
241,T. Storm
242,T. Storm
243,Category 4
244,T. Storm
245,T. Depression
246,T. Depression
247,T. Storm
248,Category 3
249,T. Depression
250,T. Storm
251,Category 4
252,T. Storm
253,T. Storm
254,T. Storm
255,T. Storm
256,T. Storm
257,T. Storm
258,T. Depression
259,Category 3
260,T. Storm
261,T. Storm
262,T. Storm
263,T. Storm
264,T. Storm
265,T. Depression
266,T. Depression
267,T. Storm
268,Category 2
269,T. Storm
270,T. Depression
271,T. Depression
272,T. Storm
273,T. Depression
274,T. Storm
275,Category 1
276,Category 2
277,T. Storm
278,T. Storm
279,Category 1
280,T. Storm
281,T. Storm
282,T. Storm
283,Category 1
284,T. Storm
285,T. Storm
286,Category 1
287,T. Depression
288,T. Storm
289,Category 4
290,Category 1
291,Category 1
292,T. Depression
293,T. Storm
294,T. Depression
295,T. Depression
296,T. Storm
297,Category 3
298,T. Depression
299,Category 3
300,T. Storm
301,T. Storm
302,Category 3
303,T. Storm
304,T. Depression
305,Category 3
306,T. Depression
307,T. Storm
308,T. Storm
309,T. Depression
310,Category 4
311,T. Depression
312,T. Storm
313,Category 1
314,Category 4
315,T. Storm
316,T. Depression
317,Category 4
318,T. Depression
319,T. Depression
320,T. Storm
321,Category 1
322,T. Storm
323,T. Storm
324,T. Storm
325,T. Storm
326,T. Storm
327,T. Depression
328,T. Depression
329,T. Storm
330,Category 1
331,Category 1
332,T. Storm
333,T. Storm
334,T. Depression
335,Category 1
336,Category 2
337,T. Depression
338,T. Storm
339,Category 2
340,Category 4
341,Category 2
342,T. Storm
343,Category 1
344,T. Storm
345,Category 4
346,Category 4
347,Category 1
348,T. Depression
349,T. Storm
350,T. Depression
351,T. Storm
352,T. Depression
353,T. Depression
354,T. Storm
355,T. Storm
356,Category 1
357,T. Storm
358,T. Storm
359,T. Storm
360,Category 2
361,T. Depression
362,Category 2
363,Category 1
364,T. Storm
365,T. Depression
366,T. Storm
367,T. Depression
368,T. Storm
369,Category 2
370,Category 2
371,Category 2
372,T. Storm
373,Category 2
