,Wind Speed
0,Category 2
1,T. Storm
2,T. Depression
3,Category 3
4,Category 2
5,T. Depression
6,Category 1
7,Category 3
8,Category 1
9,T. Storm
10,T. Storm
11,Category 2
12,T. Depression
13,Category 1
14,Category 3
15,Category 1
16,T. Depression
17,T. Depression
18,T. Depression
19,T. Depression
20,Category 3
21,Category 2
22,T. Depression
23,T. Storm
24,Category 1
25,T. Storm
26,T. Storm
27,T. Storm
28,T. Storm
29,T. Depression
30,T. Depression
31,T. Depression
32,Category 1
33,Category 2
34,Category 3
35,T. Storm
36,Category 3
37,T. Storm
38,Category 3
39,T. Depression
40,T. Depression
41,T. Depression
42,T. Storm
43,Category 3
44,T. Storm
45,Category 3
46,Category 1
47,T. Depression
48,T. Storm
49,T. Depression
50,Category 2
51,T. Depression
52,T. Depression
53,T. Depression
54,T. Storm
55,T. Storm
56,Category 3
57,Category 3
58,Category 3
59,T. Storm
60,T. Storm
61,T. Depression
62,T. Storm
63,T. Storm
64,T. Storm
65,T. Depression
66,T. Storm
67,Category 2
68,T. Storm
69,T. Depression
70,T. Storm
71,Category 3
72,Category 1
73,Category 1
74,Category 3
75,Category 3
76,T. Storm
77,Category 3
78,T. Storm
79,Category 3
80,T. Storm
81,T. Storm
82,T. Storm
83,T. Depression
84,Category 1
85,Category 2
86,Category 1
87,Category 1
88,T. Depression
89,T. Storm
90,T. Storm
91,Category 1
92,T. Storm
93,Category 2
94,T. Storm
95,T. Depression
96,Category 2
97,Category 2
98,Category 2
99,T. Depression
100,Category 2
101,T. Storm
102,Category 3
103,T. Storm
104,T. Depression
105,T. Storm
106,Category 2
107,Category 1
108,T. Depression
109,T. Depression
110,T. Depression
111,T. Storm
112,Category 2
113,T. Depression
114,T. Depression
115,Category 3
116,T. Depression
117,T. Storm
118,T. Storm
119,Category 3
120,T. Storm
121,T. Storm
122,T. Storm
123,T. Storm
124,T. Storm
125,T. Storm
126,Category 1
127,T. Storm
128,Category 1
129,Category 2
130,Category 1
131,Category 1
132,Category 3
133,Category 3
134,T. Storm
135,T. Storm
136,T. Depression
137,T. Storm
138,T. Storm
139,T. Storm
140,T. Storm
141,Category 3
142,Category 3
143,T. Storm
144,Category 3
145,T. Storm
146,Category 1
147,T. Depression
148,T. Depression
149,Category 3
150,T. Storm
151,Category 2
152,T. Depression
153,T. Storm
154,T. Storm
155,T. Depression
156,T. Storm
157,T. Storm
158,Category 3
159,T. Depression
160,Category 3
161,Category 3
162,Category 3
163,Category 2
164,T. Depression
165,Category 1
166,T. Depression
167,Category 3
168,T. Depression
169,T. Storm
170,T. Depression
171,T. Storm
172,Category 2
173,T. Storm
174,Category 3
175,T. Storm
176,T. Depression
177,T. Depression
178,Category 3
179,T. Depression
180,T. Storm
181,T. Depression
182,Category 3
183,T. Depression
184,T. Depression
185,T. Depression
186,T. Depression
187,Category 3
188,Category 3
189,T. Depression
190,T. Depression
191,T. Storm
192,Category 3
193,T. Storm
194,T. Depression
195,T. Depression
196,T. Storm
197,T. Storm
198,T. Depression
199,T. Depression
200,T. Storm
201,T. Storm
202,Category 3
203,T. Depression
204,Category 1
205,Category 3
206,T. Storm
207,Category 2
208,Category 3
209,T. Storm
210,Category 2
211,Category 3
212,T. Depression
213,T. Depression
214,T. Storm
215,Category 3
216,Category 2
217,Category 1
218,T. Storm
219,Category 3
220,T. Depression
221,T. Depression
222,Category 1
223,T. Depression
224,Category 2
225,T. Depression
226,T. Storm
227,T. Depression
228,T. Storm
229,T. Depression
230,Category 1
231,T. Storm
232,T. Storm
233,T. Storm
234,Category 3
235,T. Storm
236,T. Storm
237,T. Storm
238,T. Storm
239,T. Depression
240,T. Storm
241,Category 3
242,T. Depression
243,T. Depression
244,T. Depression
245,T. Depression
246,T. Storm
247,T. Depression
248,T. Depression
249,T. Depression
250,Category 2
251,Category 3
252,Category 3
253,Category 1
254,T. Depression
255,Category 3
256,Category 1
257,Category 3
258,Category 3
259,T. Storm
260,Category 1
261,T. Depression
262,T. Depression
263,T. Depression
264,Category 3
265,T. Depression
266,Category 3
267,T. Depression
268,T. Storm
269,T. Depression
270,T. Storm
271,Category 3
272,T. Depression
273,T. Depression
274,T. Depression
275,T. Depression
276,Category 3
277,T. Depression
278,T. Depression
279,Category 2
280,Category 1
281,Category 3
282,T. Depression
283,T. Storm
284,T. Storm
285,Category 3
286,Category 3
287,T. Depression
288,T. Storm
289,Category 3
290,Category 3
291,T. Storm
292,T. Storm
293,T. Storm
294,T. Storm
295,T. Storm
296,T. Depression
297,T. Storm
298,T. Depression
299,T. Depression
300,T. Depression
301,T. Storm
302,T. Storm
303,Category 3
304,Category 1
305,T. Depression
306,T. Depression
307,T. Depression
308,Category 1
309,Category 3
310,Category 3
311,T. Storm
312,T. Depression
313,T. Storm
314,Category 1
315,Category 2
316,Category 1
317,Category 1
318,Category 3
319,Category 3
320,T. Depression
321,T. Storm
322,T. Storm
323,T. Depression
324,Category 1
325,Category 3
326,Category 3
327,Category 3
328,T. Storm
329,Category 2
330,T. Depression
331,T. Depression
332,T. Depression
333,Category 3
334,T. Depression
335,Category 1
336,T. Storm
337,Category 3
338,Category 1
339,T. Depression
340,Category 1
341,T. Storm
342,Category 1
343,Category 2
344,T. Storm
345,T. Depression
346,T. Storm
347,T. Depression
348,Category 1
349,T. Depression
350,T. Depression
351,Category 3
352,Category 1
353,Category 2
354,T. Storm
355,T. Depression
356,T. Depression
357,T. Storm
358,T. Storm
359,T. Depression
360,T. Storm
361,Category 1
362,T. Depression
363,Category 3
364,T. Depression
365,T. Depression
366,T. Depression
367,T. Depression
368,Category 3
369,T. Storm
370,T. Storm
371,T. Depression
372,T. Depression
373,Category 3
374,T. Storm
375,Category 3
376,T. Storm
377,Category 1
378,T. Depression
379,T. Depression
380,T. Storm
381,Category 1
382,T. Depression
383,T. Depression
384,Category 1
385,T. Depression
386,Category 3
387,Category 1
388,T. Depression
389,T. Depression
390,T. Storm
391,Category 3
392,Category 3
393,Category 3
394,T. Depression
395,T. Storm
396,T. Storm
397,T. Depression
398,T. Depression
399,T. Depression
400,Category 1
401,T. Depression
402,T. Storm
403,Category 3
404,T. Depression
405,Category 1
406,Category 1
407,T. Depression
408,Category 1
409,T. Storm
410,T. Depression
411,Category 3
412,T. Depression
413,T. Depression
414,T. Depression
415,T. Storm
416,T. Storm
417,T. Depression
418,T. Depression
419,Category 1
420,T. Depression
421,T. Depression
422,T. Storm
423,Category 1
424,T. Storm
425,T. Depression
426,T. Depression
427,T. Storm
428,T. Depression
429,T. Depression
430,T. Storm
431,Category 3
432,T. Storm
433,T. Depression
434,Category 3
435,Category 3
436,Category 3
437,T. Depression
438,T. Depression
439,T. Storm
440,T. Depression
441,T. Storm
442,T. Storm
443,T. Storm
444,T. Storm
445,T. Depression
446,T. Depression
447,T. Storm
448,T. Depression
449,Category 2
450,T. Depression
451,Category 1
452,T. Depression
453,T. Storm
454,T. Depression
455,T. Storm
456,T. Depression
457,T. Depression
458,T. Depression
459,T. Storm
460,Category 3
461,Category 1
462,T. Depression
463,T. Storm
464,T. Depression
465,T. Storm
466,T. Storm
467,Category 1
468,T. Storm
469,Category 1
470,Category 1
471,T. Depression
472,T. Storm
473,Category 3
474,Category 3
475,Category 3
476,Category 3
477,T. Storm
478,Category 1
479,T. Depression
480,Category 3
481,T. Depression
482,Category 1
483,Category 3
484,T. Storm
485,Category 3
486,T. Depression
487,Category 2
488,Category 3
489,Category 3
490,T. Depression
491,T. Storm
492,T. Storm
493,T. Storm
494,Category 3
495,T. Depression
496,Category 2
497,Category 1
498,Category 3
499,T. Depression
500,T. Depression
501,Category 1
502,Category 1
503,T. Depression
504,T. Storm
505,T. Storm
506,Category 3
507,Category 3
508,T. Storm
509,T. Storm
510,T. Storm
511,Category 2
512,T. Storm
513,T. Depression
514,T. Storm
515,T. Depression
516,T. Storm
517,Category 1
518,T. Depression
519,T. Depression
520,T. Storm
521,T. Storm
522,T. Depression
523,Category 1
524,T. Storm
525,T. Depression
526,T. Storm
527,T. Storm
528,T. Depression
529,Category 3
530,T. Storm
531,T. Depression
532,T. Storm
533,T. Depression
534,T. Storm
535,Category 3
536,Category 1
537,Category 3
538,Category 2
539,Category 2
540,T. Depression
541,T. Depression
542,T. Storm
543,T. Depression
544,Category 1
545,Category 1
546,T. Depression
547,Category 3
548,T. Depression
549,T. Depression
550,T. Storm
551,T. Depression
552,T. Depression
553,T. Storm
554,Category 1
555,T. Depression
556,Category 1
557,T. Storm
558,T. Storm
559,Category 3
560,T. Storm
561,Category 1
562,T. Depression
563,T. Depression
564,Category 2
565,T. Storm
566,Category 3
567,T. Storm
568,T. Depression
569,T. Depression
570,T. Storm
571,T. Storm
572,T. Storm
573,T. Storm
574,T. Depression
575,Category 1
576,T. Storm
577,T. Storm
578,T. Depression
579,T. Storm
580,Category 2
581,T. Depression
582,Category 3
583,T. Storm
584,Category 2
585,T. Storm
586,T. Storm
587,Category 1
588,Category 1
589,T. Storm
590,T. Depression
591,T. Storm
592,Category 1
593,T. Depression
594,Category 2
595,T. Storm
596,Category 1
597,T. Storm
598,Category 1
599,Category 1
600,Category 1
601,T. Storm
602,T. Depression
603,T. Storm
604,Category 1
605,T. Depression
606,T. Depression
607,T. Depression
608,T. Storm
609,Category 3
610,T. Depression
611,Category 2
612,Category 2
613,T. Storm
614,T. Storm
615,Category 2
616,T. Storm
617,T. Storm
618,T. Depression
619,T. Depression
620,Category 1
621,Category 1
622,T. Depression
623,Category 2
624,T. Depression
625,Category 3
626,T. Depression
627,T. Depression
628,T. Depression
629,T. Depression
630,T. Depression
631,T. Storm
632,Category 3
633,T. Depression
634,Category 3
635,T. Depression
636,T. Storm
637,T. Storm
638,Category 1
639,T. Depression
640,T. Storm
641,T. Depression
642,Category 2
643,T. Storm
644,T. Storm
645,T. Storm
646,T. Depression
647,Category 3
648,Category 3
649,Category 2
650,T. Depression
651,T. Storm
652,T. Depression
653,Category 3
654,T. Depression
655,T. Storm
656,Category 3
657,T. Depression
658,Category 3
659,T. Depression
660,Category 3
