storm_id,storm_name,year,fulldate,time,lat_center,lon_center,max_sus_wind_speed,
2000217N11342,ALBERTO,2000,20000803,1800,10.8,-18,25,
2000217N11342,ALBERTO,2000,20000803,2100,11.1654,-19.0222,27,
2000217N11342,ALBERTO,2000,20000804,0000,11.5,-20.1,30,
2000217N11342,ALBERTO,2000,20000804,0300,11.7802,-21.245,32,
2000217N11342,ALBERTO,2000,20000804,0600,12,-22.3,35,
2000217N11342,ALBERTO,2000,20000804,0900,12.1569,-23.1103,35,
2000217N11342,ALBERTO,2000,20000804,1200,12.3,-23.8,35,
2000217N11342,ALBERTO,2000,20000804,1500,12.4847,-24.5001,37,
2000217N11342,ALBERTO,2000,20000804,1800,12.7,-25.2,40,
2000217N11342,ALBERTO,2000,20000804,2100,12.9423,-25.9426,40,
2000217N11342,ALBERTO,2000,20000805,0000,13.2,-26.7,40,
2000217N11342,ALBERTO,2000,20000805,0300,13.4572,-27.4426,42,
2000217N11342,ALBERTO,2000,20000805,0600,13.7,-28.2,45,
2000217N11342,ALBERTO,2000,20000805,0900,13.9073,-28.9927,45,
2000217N11342,ALBERTO,2000,20000805,1200,14.1,-29.8,45,
2000217N11342,ALBERTO,2000,20000805,1500,14.3296,-30.5848,50,
2000217N11342,ALBERTO,2000,20000805,1800,14.5,-31.4,55,
2000217N11342,ALBERTO,2000,20000805,2100,14.5228,-32.3304,60,
2000217N11342,ALBERTO,2000,20000806,0000,14.5,-33.2,65,
2000217N11342,ALBERTO,2000,20000806,0300,14.542,-33.8599,65,
2000217N11342,ALBERTO,2000,20000806,0600,14.6,-34.4,65,
2000217N11342,ALBERTO,2000,20000806,0900,14.6197,-34.9003,67,
2000217N11342,ALBERTO,2000,20000806,1200,14.7,-35.4,70,
2000217N11342,ALBERTO,2000,20000806,1500,14.9198,-35.9625,72,
2000217N11342,ALBERTO,2000,20000806,1800,15.2,-36.6,75,
2000217N11342,ALBERTO,2000,20000806,2100,15.465,-37.3274,75,
2000217N11342,ALBERTO,2000,20000807,0000,15.7,-38.1,75,
2000217N11342,ALBERTO,2000,20000807,0300,15.8723,-38.8577,77,
2000217N11342,ALBERTO,2000,20000807,0600,16,-39.6,80,
2000217N11342,ALBERTO,2000,20000807,0900,16.0998,-40.3227,80,
2000217N11342,ALBERTO,2000,20000807,1200,16.2,-41,80,
