storm_id,storm_name,year,fulldate,time,lat_center,lon_center,max_sus_wind_speed
2001361N01106,VAMEI,2001,20011226,1200,1.4,106.2,25
2001361N01106,VAMEI,2001,20011226,1500,1.46001,105.95,30
2001361N01106,VAMEI,2001,20011226,1800,1.5,105.7,35
2001361N01106,VAMEI,2001,20011226,2100,1.50749,105.444,50
2001361N01106,VAMEI,2001,20011227,0,1.5,105.156,65
2001361N01106,VAMEI,2001,20011227,300,1.49451,104.778,65
2001361N01106,VAMEI,2001,20011227,600,1.5,104.4,65
2001361N01106,VAMEI,2001,20011227,900,1.52832,104.1,55
2001361N01106,VAMEI,2001,20011227,1200,1.56667,103.8,45
2001361N01106,VAMEI,2001,20011227,1500,1.6,103.429,42
2001361N01106,VAMEI,2001,20011227,1800,1.63636,103.036,40
2001361N01106,VAMEI,2001,20011227,2100,1.67649,102.686,35
2001361N01106,VAMEI,2001,20011228,0,1.725,102.3,30
2001361N01106,VAMEI,2001,20011228,300,1.79669,101.85,30
2001361N01106,VAMEI,2001,20011228,600,1.84,101.38,30
2001361N01106,VAMEI,2001,20011228,900,1.84998,101.05,27
2001361N01106,VAMEI,2001,20011228,1200,1.9,100.7,25
2001361N01106,VAMEI,2001,20011228,1500,1.93497,100.337,25
2001361N01106,VAMEI,2001,20011228,1800,2,99.9,25
2001361N01106,VAMEI,2001,20011228,2100,2.13504,99.3,22
2001361N01106,VAMEI,2001,20011229,0,2.3,98.7,20
2001361N01106,VAMEI,2001,20011229,300,2.45746,98.27,20
2001361N01106,VAMEI,2001,20011229,600,2.6,97.9,20
2001361N01106,VAMEI,2001,20011229,900,2.68493,97.5449,22
2001361N01106,VAMEI,2001,20011229,1200,2.8,97.1,25
2001361N01106,VAMEI,2001,20011229,1500,3.02753,96.445,25
2001361N01106,VAMEI,2001,20011229,1800,3.3,95.7,25
2001361N01106,VAMEI,2001,20011229,2100,3.56501,94.97,25
2001361N01106,VAMEI,2001,20011230,0,3.8,94.3,25
2001361N01106,VAMEI,2001,20011230,300,3.96493,93.755,25
2001361N01106,VAMEI,2001,20011230,600,4.1,93.3,25
2001361N01106,VAMEI,2001,20011230,900,4.25746,92.8775,25
2001361N01106,VAMEI,2001,20011230,1200,4.4,92.5,25
2001361N01106,VAMEI,2001,20011230,1500,4.52248,92.135,30
2001361N01106,VAMEI,2001,20011230,1800,4.6,91.8,35
2001361N01106,VAMEI,2001,20011230,2100,4.62249,91.4775,35
2001361N01106,VAMEI,2001,20011231,0,4.6,91.2,35
2001361N01106,VAMEI,2001,20011231,300,4.57248,90.9775,35
2001361N01106,VAMEI,2001,20011231,600,4.5,90.8,35
2001361N01106,VAMEI,2001,20011231,900,4.3725,90.635,35
2001361N01106,VAMEI,2001,20011231,1200,4.2,90.5,35
2001361N01106,VAMEI,2001,20011231,1500,4.00749,90.4,32
2001361N01106,VAMEI,2001,20011231,1800,3.8,90.3,30
2001361N01106,VAMEI,2001,20011231,2100,3.59998,90.1875,27
2001361N01106,VAMEI,2001,20020101,0,3.4,90,25
2001361N01106,VAMEI,2001,20020101,300,3.20004,89.6875,25
2001361N01106,VAMEI,2001,20020101,600,3,89.3,25
2004319N10134,MUIFA,2004,20041113,1800,9.63333,134.167,20
2004319N10134,MUIFA,2004,20041113,2100,10.0518,133.196,25
2004319N10134,MUIFA,2004,20041114,0,10.4333,132.3,30
2004319N10134,MUIFA,2004,20041114,300,10.7637,131.519,30
2004319N10134,MUIFA,2004,20041114,600,11.1231,130.731,30
2004319N10134,MUIFA,2004,20041114,900,11.6111,129.847,32
2004319N10134,MUIFA,2004,20041114,1200,12.0467,128.967,35
2004319N10134,MUIFA,2004,20041114,1500,12.2965,128.077,35
2004319N10134,MUIFA,2004,20041114,1800,12.375,127.275,35
2004319N10134,MUIFA,2004,20041114,2100,12.314,126.698,35
2004319N10134,MUIFA,2004,20041115,0,12.325,126.35,35
2004319N10134,MUIFA,2004,20041115,300,12.6673,126.212,35
2004319N10134,MUIFA,2004,20041115,600,13.1,126.15,35
2004319N10134,MUIFA,2004,20041115,900,13.4181,125.951,35
2004319N10134,MUIFA,2004,20041115,1200,13.65,125.725,35
2004319N10134,MUIFA,2004,20041115,1500,13.7651,125.506,35
2004319N10134,MUIFA,2004,20041115,1800,13.85,125.35,35
2004319N10134,MUIFA,2004,20041115,2100,14.0118,125.372,37
2004319N10134,MUIFA,2004,20041116,0,14.2,125.35,40
2004319N10134,MUIFA,2004,20041116,300,14.4289,125.061,42
2004319N10134,MUIFA,2004,20041116,600,14.575,124.675,45
2004319N10134,MUIFA,2004,20041116,900,14.5031,124.322,50
2004319N10134,MUIFA,2004,20041116,1200,14.375,124.025,55
2004319N10134,MUIFA,2004,20041116,1500,14.3506,123.834,55
2004319N10134,MUIFA,2004,20041116,1800,14.375,123.725,55
2004319N10134,MUIFA,2004,20041116,2100,14.4206,123.654,57
2004319N10134,MUIFA,2004,20041117,0,14.5,123.625,60
2004319N10134,MUIFA,2004,20041117,300,14.6012,123.596,62
2004319N10134,MUIFA,2004,20041117,600,14.725,123.6,65
2004319N10134,MUIFA,2004,20041117,900,14.8475,123.661,70
2004319N10134,MUIFA,2004,20041117,1200,15,123.725,75
2004319N10134,MUIFA,2004,20041117,1500,15.22,123.734,82
2004319N10134,MUIFA,2004,20041117,1800,15.425,123.725,90
2004319N10134,MUIFA,2004,20041117,2100,15.5312,123.714,97
2004319N10134,MUIFA,2004,20041118,0,15.6,123.725,105
2004319N10134,MUIFA,2004,20041118,300,15.695,123.781,110
2004319N10134,MUIFA,2004,20041118,600,15.775,123.875,115
2004319N10134,MUIFA,2004,20041118,900,15.8331,123.996,115
2004319N10134,MUIFA,2004,20041118,1200,15.85,124.125,115
2004319N10134,MUIFA,2004,20041118,1500,15.83,124.248,110
2004319N10134,MUIFA,2004,20041118,1800,15.75,124.325,105
2004319N10134,MUIFA,2004,20041118,2100,15.6287,124.328,105
2004319N10134,MUIFA,2004,20041119,0,15.425,124.275,105
2004319N10134,MUIFA,2004,20041119,300,15.1131,124.214,97
2004319N10134,MUIFA,2004,20041119,600,14.775,124.1,90
2004319N10134,MUIFA,2004,20041119,900,14.5248,123.966,87
2004319N10134,MUIFA,2004,20041119,1200,14.275,123.7,85
2004319N10134,MUIFA,2004,20041119,1500,13.9745,123.227,82
2004319N10134,MUIFA,2004,20041119,1800,13.625,122.65,80
2004319N10134,MUIFA,2004,20041119,2100,13.1917,122.119,77
2004319N10134,MUIFA,2004,20041120,0,12.8,121.55,75
2004319N10134,MUIFA,2004,20041120,300,12.5583,120.883,70
2004319N10134,MUIFA,2004,20041120,600,12.425,120.25,65
2004319N10134,MUIFA,2004,20041120,900,12.3503,119.79,62
2004319N10134,MUIFA,2004,20041120,1200,12.325,119.375,60
2004319N10134,MUIFA,2004,20041120,1500,12.3093,118.898,62
2004319N10134,MUIFA,2004,20041120,1800,12.275,118.375,65
2004319N10134,MUIFA,2004,20041120,2100,12.1681,117.795,65
2004319N10134,MUIFA,2004,20041121,0,12.05,117.2,65
2004319N10134,MUIFA,2004,20041121,300,11.9762,116.629,67
2004319N10134,MUIFA,2004,20041121,600,11.925,116.1,70
2004319N10134,MUIFA,2004,20041121,900,11.8874,115.629,75
2004319N10134,MUIFA,2004,20041121,1200,11.85,115.2,80
2004319N10134,MUIFA,2004,20041121,1500,11.8006,114.773,85
2004319N10134,MUIFA,2004,20041121,1800,11.725,114.375,90
2004319N10134,MUIFA,2004,20041121,2100,11.6206,114.014,87
2004319N10134,MUIFA,2004,20041122,0,11.475,113.675,85
2004319N10134,MUIFA,2004,20041122,300,11.2769,113.313,85
2004319N10134,MUIFA,2004,20041122,600,11.075,113,85
2004319N10134,MUIFA,2004,20041122,900,10.9262,112.794,80
2004319N10134,MUIFA,2004,20041122,1200,10.8,112.625,75
2004319N10134,MUIFA,2004,20041122,1500,10.6712,112.413,70
2004319N10134,MUIFA,2004,20041122,1800,10.55,112.2,65
2004319N10134,MUIFA,2004,20041122,2100,10.445,112.024,65
2004319N10134,MUIFA,2004,20041123,0,10.325,111.825,65
2004319N10134,MUIFA,2004,20041123,300,10.1481,111.549,65
2004319N10134,MUIFA,2004,20041123,600,9.975,111.25,65
2004319N10134,MUIFA,2004,20041123,900,9.86373,110.982,62
2004319N10134,MUIFA,2004,20041123,1200,9.775,110.725,60
2004319N10134,MUIFA,2004,20041123,1500,9.68619,110.488,57
2004319N10134,MUIFA,2004,20041123,1800,9.575,110.225,55
2004319N10134,MUIFA,2004,20041123,2100,9.41118,109.911,55
2004319N10134,MUIFA,2004,20041124,0,9.225,109.525,55
2004319N10134,MUIFA,2004,20041124,300,9.05178,109.081,52
2004319N10134,MUIFA,2004,20041124,600,8.875,108.55,50
2004319N10134,MUIFA,2004,20041124,900,8.67245,107.944,45
2004319N10134,MUIFA,2004,20041124,1200,8.5,107.213,40
2004319N10134,MUIFA,2004,20041124,1500,8.38558,106.417,40
2004319N10134,MUIFA,2004,20041124,1800,8.36154,105.523,40
2004319N10134,MUIFA,2004,20041124,2100,8.49238,104.532,40
2004319N10134,MUIFA,2004,20041125,0,8.63333,103.667,40
2004319N10134,MUIFA,2004,20041125,300,8.61418,102.741,37
2004319N10134,MUIFA,2004,20041125,600,8.6,101.864,35
2004319N10134,MUIFA,2004,20041125,900,8.70348,101.086,32
2004319N10134,MUIFA,2004,20041125,1200,8.9375,100.45,30
2004319N10134,MUIFA,2004,20041125,1500,9.38332,99.8979,30
2004319N10134,MUIFA,2004,20041125,1800,9.95,99.575,30
2004319N10134,MUIFA,2004,20041125,2100,10.595,99.5641,27
2004319N10134,MUIFA,2004,20041126,0,11.3,99.9,25
2005257N15120,VICENTE,2005,20050914,600,14.7,119.6,15
2005257N15120,VICENTE,2005,20050914,900,14.8878,119.045,15
2005257N15120,VICENTE,2005,20050914,1200,15,118.5,15
2005257N15120,VICENTE,2005,20050914,1500,14.9873,117.965,15
2005257N15120,VICENTE,2005,20050914,1800,14.9,117.4,15
2005257N15120,VICENTE,2005,20050914,2100,14.8377,116.735,15
2005257N15120,VICENTE,2005,20050915,0,14.7,116.1,15
2005257N15120,VICENTE,2005,20050915,300,14.4222,115.627,17
2005257N15120,VICENTE,2005,20050915,600,14.1,115.333,20
2005257N15120,VICENTE,2005,20050915,900,13.8595,114.864,20
2005257N15120,VICENTE,2005,20050915,1200,13.6,114.38,20
2005257N15120,VICENTE,2005,20050915,1500,13.2899,113.934,20
2005257N15120,VICENTE,2005,20050915,1800,12.9,113.533,20
2005257N15120,VICENTE,2005,20050915,2100,12.4033,113.109,25
2005257N15120,VICENTE,2005,20050916,0,11.8667,112.9,30
2005257N15120,VICENTE,2005,20050916,300,11.2683,113.079,32
2005257N15120,VICENTE,2005,20050916,600,10.9,113.492,35
2005257N15120,VICENTE,2005,20050916,900,11.0173,113.92,32
2005257N15120,VICENTE,2005,20050916,1200,11.38,114.267,30
2005257N15120,VICENTE,2005,20050916,1500,11.7631,114.385,32
2005257N15120,VICENTE,2005,20050916,1800,12.275,114.4,35
2005257N15120,VICENTE,2005,20050916,2100,12.8612,114.522,35
2005257N15120,VICENTE,2005,20050917,0,13.575,114.5,35
2005257N15120,VICENTE,2005,20050917,300,14.4569,114.232,35
2005257N15120,VICENTE,2005,20050917,600,15.325,113.65,35
2005257N15120,VICENTE,2005,20050917,900,16.0213,112.716,35
2005257N15120,VICENTE,2005,20050917,1200,16.525,111.65,35
2005257N15120,VICENTE,2005,20050917,1500,16.8408,110.747,40
2005257N15120,VICENTE,2005,20050917,1800,17,109.925,45
2005257N15120,VICENTE,2005,20050917,2100,17.0726,109.174,47
2005257N15120,VICENTE,2005,20050918,0,17.15,108.45,50
2005257N15120,VICENTE,2005,20050918,300,17.3337,107.714,50
2005257N15120,VICENTE,2005,20050918,600,17.6333,106.913,50
2005257N15120,VICENTE,2005,20050918,900,18.1333,105.964,47
2005257N15120,VICENTE,2005,20050918,1200,18.6667,104.85,45
2005262N13127,DAMREY,2005,20050920,600,15.7222,124.2,25
2005262N13127,DAMREY,2005,20050920,900,16.0615,124.065,27
2005262N13127,DAMREY,2005,20050920,1200,16.4182,123.918,30
2005262N13127,DAMREY,2005,20050920,1500,16.8141,123.746,32
2005262N13127,DAMREY,2005,20050920,1800,17.2385,123.492,35
2005262N13127,DAMREY,2005,20050920,2100,17.6689,123.211,35
2005262N13127,DAMREY,2005,20050921,0,18.06,122.9,35
2005262N13127,DAMREY,2005,20050921,300,18.4037,122.556,37
2005262N13127,DAMREY,2005,20050921,600,18.675,122.2,40
2005262N13127,DAMREY,2005,20050921,900,18.8244,121.856,45
2005262N13127,DAMREY,2005,20050921,1200,18.925,121.55,50
2005262N13127,DAMREY,2005,20050921,1500,19.0581,121.301,50
2005262N13127,DAMREY,2005,20050921,1800,19.225,121.1,50
2005262N13127,DAMREY,2005,20050921,2100,19.4568,120.941,52
2005262N13127,DAMREY,2005,20050922,0,19.7,120.775,55
2005262N13127,DAMREY,2005,20050922,300,19.925,120.548,55
2005262N13127,DAMREY,2005,20050922,600,20.075,120.275,55
2005262N13127,DAMREY,2005,20050922,900,20.0962,119.981,55
2005262N13127,DAMREY,2005,20050922,1200,20.05,119.65,55
2005262N13127,DAMREY,2005,20050922,1500,20.0031,119.288,55
2005262N13127,DAMREY,2005,20050922,1800,19.975,118.9,55
2005262N13127,DAMREY,2005,20050922,2100,20.0023,118.517,52
2005262N13127,DAMREY,2005,20050923,0,20.075,118.1,50
2005262N13127,DAMREY,2005,20050923,300,20.1971,117.585,50
2005262N13127,DAMREY,2005,20050923,600,20.3,117.125,50
2005262N13127,DAMREY,2005,20050923,900,20.3116,116.886,50
2005262N13127,DAMREY,2005,20050923,1200,20.275,116.7,50
2005262N13127,DAMREY,2005,20050923,1500,20.2437,116.404,47
2005262N13127,DAMREY,2005,20050923,1800,20.175,116.075,45
2005262N13127,DAMREY,2005,20050923,2100,20.0487,115.752,47
2005262N13127,DAMREY,2005,20050924,0,19.9,115.425,50
2005262N13127,DAMREY,2005,20050924,300,19.7768,115.111,52
2005262N13127,DAMREY,2005,20050924,600,19.65,114.775,55
2005262N13127,DAMREY,2005,20050924,900,19.5095,114.368,57
2005262N13127,DAMREY,2005,20050924,1200,19.35,113.975,60
2005262N13127,DAMREY,2005,20050924,1500,19.1455,113.674,62
2005262N13127,DAMREY,2005,20050924,1800,18.975,113.425,65
2005262N13127,DAMREY,2005,20050924,2100,18.8999,113.206,72
2005262N13127,DAMREY,2005,20050925,0,18.9,112.975,80
2005262N13127,DAMREY,2005,20050925,300,18.9531,112.676,85
2005262N13127,DAMREY,2005,20050925,600,19.025,112.35,90
2005262N13127,DAMREY,2005,20050925,900,19.0592,112.064,87
2005262N13127,DAMREY,2005,20050925,1200,19.075,111.725,85
