storm_id,storm_name,year,fulldate,time,lat_center,lon_center,max_sus_wind_speed
2002195N11172,FENGSHEN,2002,20020715,1500,14.0987,170.446,92
2002195N11172,FENGSHEN,2002,20020715,1800,14.275,170.325,95
2002195N11172,FENGSHEN,2002,20020715,2100,14.3994,170.146,100
2002195N11172,FENGSHEN,2002,20020716,0000,14.475,169.925,105
2002195N11172,FENGSHEN,2002,20020716,0300,14.5168,169.709,110
2002195N11172,FENGSHEN,2002,20020716,0600,14.525,169.475,115
2002195N11172,FENGSHEN,2002,20020716,0900,14.5144,169.212,115
2002195N11172,FENGSHEN,2002,20020716,1200,14.5,168.95,115
2002195N11172,FENGSHEN,2002,20020716,1500,14.5068,168.734,120
2002195N11172,FENGSHEN,2002,20020716,1800,14.525,168.5,125
2002195N11172,FENGSHEN,2002,20020716,2100,14.55,168.184,125
2002195N11172,FENGSHEN,2002,20020717,0000,14.575,167.85,125
2002195N11172,FENGSHEN,2002,20020717,0300,14.5873,167.579,125
2002195N11172,FENGSHEN,2002,20020717,0600,14.6,167.275,125
2002195N11172,FENGSHEN,2002,20020717,0900,14.6269,166.862,125
2002195N11172,FENGSHEN,2002,20020717,1200,14.65,166.4,125
2002195N11172,FENGSHEN,2002,20020717,1500,14.6574,165.952,125
2002195N11172,FENGSHEN,2002,20020717,1800,14.65,165.5,125
2002195N11172,FENGSHEN,2002,20020717,2100,14.625,165.042,127
2002195N11172,FENGSHEN,2002,20020718,0000,14.6,164.6,130
2002195N11172,FENGSHEN,2002,20020718,0300,14.583,164.192,132
2002195N11172,FENGSHEN,2002,20020718,0600,14.6,163.8,135
2002195N11172,FENGSHEN,2002,20020718,0900,14.6743,163.408,135
2002195N11172,FENGSHEN,2002,20020718,1200,14.775,163,135
2002195N11172,FENGSHEN,2002,20020718,1500,14.8644,162.55,135
2002195N11172,FENGSHEN,2002,20020718,1800,14.95,162.1,135
2002195N11172,FENGSHEN,2002,20020718,2100,15.023,161.692,137
2002195N11172,FENGSHEN,2002,20020719,0000,15.1,161.3,140
2002195N11172,FENGSHEN,2002,20020719,0300,15.1943,160.894,140
2002195N11172,FENGSHEN,2002,20020719,0600,15.3,160.5,140
2002195N11172,FENGSHEN,2002,20020719,0900,15.4068,160.128,140
2002195N11172,FENGSHEN,2002,20020719,1200,15.525,159.775,140
2002195N11172,FENGSHEN,2002,20020719,1500,15.6643,159.424,140
2002195N11172,FENGSHEN,2002,20020719,1800,15.8,159.1,140
2002195N11172,FENGSHEN,2002,20020719,2100,15.8793,158.806,140
2002195N11172,FENGSHEN,2002,20020720,0000,16,158.55,140
2002195N11172,FENGSHEN,2002,20020720,0300,16.2412,158.336,140
2002195N11172,FENGSHEN,2002,20020720,0600,16.55,158.125,140
2002195N11172,FENGSHEN,2002,20020720,0900,16.8637,157.877,137
2002195N11172,FENGSHEN,2002,20020720,1200,17.2,157.6,135
2002195N11172,FENGSHEN,2002,20020720,1500,17.518,157.308,137
2002195N11172,FENGSHEN,2002,20020720,1800,17.9,156.975,140
2002195N11172,FENGSHEN,2002,20020720,2100,18.43,156.594,140
2002195N11172,FENGSHEN,2002,20020721,0000,18.975,156.175,140
2002195N11172,FENGSHEN,2002,20020721,0300,19.4011,155.752,140
2002195N11172,FENGSHEN,2002,20020721,0600,19.775,155.3,140
2002195N11172,FENGSHEN,2002,20020721,0900,20.1356,154.802,142
2002195N11172,FENGSHEN,2002,20020721,1200,20.5,154.3,145
2002195N11172,FENGSHEN,2002,20020721,1500,20.9009,153.861,142
2002195N11172,FENGSHEN,2002,20020721,1800,21.325,153.4,140
2002195N11172,FENGSHEN,2002,20020721,2100,21.7438,152.836,140
2002195N11172,FENGSHEN,2002,20020722,0000,22.2,152.25,140
2002195N11172,FENGSHEN,2002,20020722,0300,22.7334,151.728,137
2002195N11172,FENGSHEN,2002,20020722,0600,23.275,151.2,135
2002195N11172,FENGSHEN,2002,20020722,0900,23.758,150.613,132
